Competiton;City;Year;Day #;Race #;Distance;Gender (race);Solo/ Relay;Repechage;Race type;Heat #;# of skaters;Penalty;First name;Last name;Gender (fallen);Helmet #;Country;Fall / Out of track;Lap #;Turn #;Place of fall;Solo/ Group;Reason of fall;First impact;Second impact;Mattress impact;Head impact;Timing video;Impact speed mean;Impact speed m1;Impact speed m2;Impact speed m3;Not displayed;Comments
World Championships;Seoul;2023;1;59;1000m;Women;Solo;No;Heats;8;5;Yes;Thanutchaya;Chatthaisong;Woman;107;Thailand;Fall;No data;None;Straight line;Group;Skates contact;Hand + knee;None;Yes;Indirect impact;06:02:47;#DIV/0!;;;;;
World Championships;Montreal;2022;3;126;1000m;Men;Solo;No;Quarterfinals;3;5;Yes;Thomas;Nadalini;Man;204;Italy;Fall;No data;No data;End of turn;Group;Opponent fall;Elbow;Flank;Yes;Indirect impact;00:40:35;#DIV/0!;;;;;
World Championships;Seoul;2023;1;41;1000m;Men;Solo;No;Heats;1;5;No;Clayton;De Clemente;Man;132;USA;Fall;No data;None;Straight line;Group;Skates contact;Hand + knee;Butt;No;None;06:07:41;#DIV/0!;;;;;
World Championships;Montreal;2022;3;127;1000m;Men;Solo;No;Quarterfinals;4;5;Yes;Stijn;Desmet;Man;9;Belgium;Fall;No data;None;Straight line;Solo;Stumbles;Elbow;Abdomen;No;None;00:46:42;#DIV/0!;;;;;
World Championships;Seoul;2023;1;43;1000m;Men;Solo;No;Heats;3;5;No;Daniel;Tiborcz;Man;204;Hungary;Fall;No data;No data;End of turn;Group;Opponent fall;Hand + knee;None;No;None;06:14:37;#DIV/0!;;;;;
World Championships;Montreal;2022;3;127;1000m;Men;Solo;No;Quarterfinals;4;5;Yes;Seung-Min;Kwon;Man;216;USA;Fall;No data;None;Straight line;Group;Opponent fall;Hand + knee;Back;Yes;None;00:46:42;#DIV/0!;;;;;
World Championships;Seoul;2023;1;43;1000m;Men;Solo;No;Heats;3;5;No;Lukasz;Kuczynski;Man;94;Poland;Fall;No data;No data;End of turn;Group;Blocked/pushed;Butt;None;No;None;06:14:37;#DIV/0!;;;;;
World Championships;Montreal;2022;3;133;1000m;Women;Solo;No;Final A;None;5;No;Courtney;Sarault;Woman;2;Canada;Fall;No data;No data;End of turn;Group;Opponent contact;Butt;Back;Yes;Direct impact;01:43:59;#DIV/0!;;;;;
World Championships;Seoul;2023;1;44;1000m;Men;Solo;No;Heats;4;4;No;Pietro;Sighel;Man;57;Italy;Fall;No data;No data;End of turn;Group;Opponent contact;Hip + elbow;None;Yes;No data;06:20:27;#DIV/0!;;;;;
World Championships;Montreal;2022;3;137;3000m;Men;Solo;No;Superfinal;None;8;No;Yoon-Gy;Kwak;Man;194;Korea;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;;#DIV/0!;;;;x;
World Championships;Seoul;2023;1;44;1000m;Men;Solo;No;Heats;4;4;No;Roberts;Kruzbergs;Man;7;Latvia;Fall;No data;No data;End of turn;Group;Opponent contact;Butt;None;Yes;Direct impact;06:20:27;#DIV/0!;;;;;
World Championships;Montreal;2022;3;111;1000m;Men;Solo;Yes;Preliminaries;1;5;No;Ethan;Treacy;Man;131;UK;Fall;No data;No data;Turn;Solo;Cone;Knee;Hip + elbow;Yes;Indirect impact;00:32:23;#DIV/0!;;;;;
World Championships;Seoul;2023;1;44;1000m;Men;Solo;No;Heats;4;4;No;Adil;Galiakhmetov;Man;59;Kazakhstan;Fall;No data;No data;End of turn;Group;Opponent contact;Hip;Knee;Yes;No data;06:20:27;#DIV/0!;;;;;
World Championships;Montreal;2022;3;112;1000m;Men;Solo;Yes;Preliminaries;2;5;No;Dominic;Andermann;Man;136;Austria;Fall;No data;None;Straight line;Solo;Skates contact;Hip;Back;No;None;00:37:12;#DIV/0!;;;;;
World Championships;Seoul;2023;1;44;1000m;Men;Solo;No;Heats;4;4;No;Itzhak;De Laat;Man;9;The Netherlands;Fall;No data;No data;End of turn;Group;Opponent contact;Hand + knee;None;Yes;No data;06:20:27;#DIV/0!;;;;;
World Championships;Montreal;2022;3;119;5000m;Men;Relay;Yes;Final B;None;8;No;No data;No data;No data;185;France;Fall;No data;No data;Turn entrance;Solo;Sliding;Knee;Hip;Yes;Indirect impact;01:29:02;#DIV/0!;;;;;
World Championships;Seoul;2023;1;44;1000m;Men;Solo;No;Heats;4;4;No;Adil;Galiakhmetov;Man;59;Kazakhstan;Fall;No data;No data;End of turn;Solo;Sliding;Shin;None;Yes;None;06:26:58;#DIV/0!;;;;;
World Cup;Montreal;2022;1;11;1000m;Men;Solo;No;Heats;5;5;No;Mathieu;Pelletier;Man;145;Canada;Fall;No data;No data;Turn entrance;Group;Blocked/pushed;Hip;None;Yes;No data;00:48:09;#DIV/0!;;;;;
World Championships;Seoul;2023;1;46;1000m;Men;Solo;No;Heats;6;4;No;Sjinkie;Knegt;Man;6;The Netherlands;Out of track;No data;No data;Turn;Group;Opponent contact;None;None;No;None;06:34:31;#DIV/0!;;;;;
World Cup;Montreal;2022;1;11;1000m;Men;Solo;No;Heats;5;5;No;Tawan;Thomas;Man;109;France;Fall;No data;No data;Turn entrance;Group;Opponent contact;Hip;None;Yes;Direct impact;00:48:09;#DIV/0!;;;;;
World Championships;Seoul;2023;1;;2000m;Mixed;Relay;No;Quarterfinals;2;;;No data;No data;Man;62;Japan;Fall;No data;None;Straight line;Solo;Skate stuck in the ice;Knee;Hip;Yes;No data;07:01:00;#DIV/0!;;;;;
World Cup;Montreal;2022;1;11;1000m;Men;Solo;No;Heats;5;5;No;Tarik;Omeragic;Man;36;Bosnia;Fall;No data;No data;Turn entrance;Group;Skates contact;Hand;Hip;Yes;No data;00:48:09;#DIV/0!;;;;;
World Championships;Seoul;2023;1;69;3000m;Women;Relay;No;Quarterfinals;1;4;No;No data;No data;Woman;;Kazakhstan;Fall;No data;No data;Turn;Group;Opponent contact;Butt;None;Yes;No data;07:24:30;#DIV/0!;;;;;
